sex,age,age_group,age_group_id,site,site_id
1,13.41,adolescent,1,UCLA_1,14
1,12.68,child,0,UCLA_1,14
1,15.74,adolescent,1,UCLA_1,14
1,13.85,adolescent,1,UCLA_1,14
1,12.01,child,0,UCLA_1,14
1,9.21,child,0,UCLA_1,14
2,13.82,adolescent,1,UCLA_1,14
1,9.5,child,0,UCLA_1,14
1,11.83,child,0,UCLA_1,14
1,16.47,adolescent,1,UCLA_2,15
1,12.24,child,0,UCLA_2,15
1,13.08,adolescent,1,UCLA_2,15
1,11.7,child,0,UCLA_2,15
1,10.04,child,0,UCLA_2,15
1,14.27,adolescent,1,UCLA_2,15
1,10.57,child,0,UCLA_2,15
1,14.77,adolescent,1,UCLA_2,15
1,14.08,adolescent,1,UCLA_2,15
1,13.28,adolescent,1,UCLA_2,15
1,10.85,child,0,UCLA_2,15
2,13.0,adolescent,1,UCLA_2,15
1,10.53,child,0,UCLA_2,15
2,12.64,child,0,UCLA_2,15
1,11.66,child,0,UCLA_2,15
1,12.15,child,0,UCLA_2,15
1,9.79,child,0,UCLA_2,15
1,11.9,child,0,UCLA_2,15
1,11.95,child,0,UCLA_2,15
1,13.36,adolescent,1,UCLA_2,15
1,13.63,adolescent,1,UCLA_2,15
1,19.0,adult,2,MAX_MUN,5
1,33.0,adult,2,MAX_MUN,5
1,31.0,adult,2,MAX_MUN,5
2,45.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
2,32.0,adult,2,MAX_MUN,5
1,42.0,adult,2,MAX_MUN,5
1,58.0,adult,2,MAX_MUN,5
1,22.0,adult,2,MAX_MUN,5
1,18.0,adolescent,1,MAX_MUN,5
1,45.0,adult,2,MAX_MUN,5
1,35.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,24.0,adult,2,MAX_MUN,5
1,27.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
1,22.0,adult,2,MAX_MUN,5
1,35.0,adult,2,MAX_MUN,5
1,25.0,adult,2,MAX_MUN,5
1,24.0,adult,2,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,12.0,child,0,MAX_MUN,5
1,10.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,13.0,adolescent,1,MAX_MUN,5
1,7.0,child,0,MAX_MUN,5
1,16.0,adolescent,1,MAX_MUN,5
1,33.0,adult,2,MAX_MUN,5
1,32.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,32.0,adult,2,MAX_MUN,5
2,32.0,adult,2,MAX_MUN,5
1,46.0,adult,2,MAX_MUN,5
1,37.7,adult,2,CALTECH,0
2,20.2,adult,2,CALTECH,0
1,20.9,adult,2,CALTECH,0
1,20.2,adult,2,CALTECH,0
1,21.2,adult,2,CALTECH,0
1,42.5,adult,2,CALTECH,0
2,20.0,adult,2,CALTECH,0
2,20.8,adult,2,CALTECH,0
1,27.9,adult,2,CALTECH,0
2,21.1,adult,2,CALTECH,0
1,23.6,adult,2,CALTECH,0
1,17.0,adolescent,1,CALTECH,0
1,23.3,adult,2,CALTECH,0
1,56.2,adult,2,CALTECH,0
2,29.2,adult,2,CALTECH,0
1,20.0,adult,2,SBL,10
1,26.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,37.0,adult,2,SBL,10
1,38.0,adult,2,SBL,10
1,39.0,adult,2,SBL,10
1,39.0,adult,2,SBL,10
1,41.0,adult,2,SBL,10
1,34.0,adult,2,SBL,10
1,37.0,adult,2,SBL,10
1,36.0,adult,2,SBL,10
1,42.0,adult,2,SBL,10
1,28.0,adult,2,SBL,10
1,30.0,adult,2,SBL,10
1,30.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,33.0,adult,2,SBL,10
1,41.0,adult,2,SBL,10
1,42.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,35.0,adult,2,SBL,10
1,49.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
2,29.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
